MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice
60,RL,8450,Inside,1Fam,5,2003,2003,VinylSd,0.0,856.0,208500.0
20,RL,9600,FR2,1Fam,8,1976,1976,MetalSd,0.0,1262.0,181500.0
60,RL,11250,Inside,1Fam,5,2001,2002,VinylSd,0.0,920.0,223500.0
70,RL,9550,Corner,1Fam,5,1915,1970,Wd Sdng,0.0,756.0,140000.0
60,RL,14260,FR2,1Fam,5,2000,2000,VinylSd,0.0,1145.0,250000.0
50,RL,14115,Inside,1Fam,5,1993,1995,VinylSd,0.0,796.0,143000.0
20,RL,10084,Inside,1Fam,5,2004,2005,VinylSd,0.0,1686.0,307000.0
60,RL,10382,Corner,1Fam,6,1973,1973,HdBoard,32.0,1107.0,200000.0
50,RM,6120,Inside,1Fam,5,1931,1950,BrkFace,0.0,952.0,129900.0
190,RL,7420,Corner,2fmCon,6,1939,1950,MetalSd,0.0,991.0,118000.0
20,RL,11200,Inside,1Fam,5,1965,1965,HdBoard,0.0,1040.0,129500.0
60,RL,11924,Inside,1Fam,5,2005,2006,WdShing,0.0,1175.0,345000.0
20,RL,12968,Inside,1Fam,6,1962,1962,HdBoard,0.0,912.0,144000.0
20,RL,10652,Inside,1Fam,5,2006,2007,VinylSd,0.0,1494.0,279500.0
20,RL,10920,Corner,1Fam,5,1960,1960,MetalSd,0.0,1253.0,157000.0
45,RM,6120,Corner,1Fam,8,1929,2001,Wd Sdng,0.0,832.0,132000.0
20,RL,11241,CulDSac,1Fam,7,1970,1970,Wd Sdng,0.0,1004.0,149000.0
90,RL,10791,Inside,Duplex,5,1967,1967,MetalSd,0.0,0.0,90000.0
20,RL,13695,Inside,1Fam,5,2004,2004,VinylSd,0.0,1114.0,159000.0
20,RL,7560,Inside,1Fam,6,1958,1965,BrkFace,0.0,1029.0,139000.0
60,RL,14215,Corner,1Fam,5,2005,2006,VinylSd,0.0,1158.0,325300.0
45,RM,7449,Inside,1Fam,7,1930,1950,Wd Sdng,0.0,637.0,139400.0
20,RL,9742,Inside,1Fam,5,2002,2002,VinylSd,0.0,1777.0,230000.0
120,RM,4224,Inside,TwnhsE,7,1976,1976,CemntBd,0.0,1040.0,129900.0
20,RL,8246,Inside,1Fam,8,1968,2001,Plywood,668.0,1060.0,154000.0
20,RL,14230,Corner,1Fam,5,2007,2007,VinylSd,0.0,1566.0,256300.0
